Bin,Frequency_Hz,Power
943,3683.59,0.002633
944,3687.50,0.002021
945,3691.41,0.002220
946,3695.31,0.002203
947,3699.22,0.002144
948,3703.12,0.002377
949,3707.03,0.002442
950,3710.94,0.002322
951,3714.84,0.002169
952,3718.75,0.002244
953,3722.66,0.002273
954,3726.56,0.001891
955,3730.47,0.002091
956,3734.38,0.002261
957,3738.28,0.002343
958,3742.19,0.002277
959,3746.09,0.002081
960,3750.00,0.002532
961,3753.91,0.002318
962,3757.81,0.002653
963,3761.72,0.002363
964,3765.62,0.002251
965,3769.53,0.002520
966,3773.44,0.002067
967,3777.34,0.002320
968,3781.25,0.002279
969,3785.16,0.002429
970,3789.06,0.003087
971,3792.97,0.003382
972,3796.88,0.002030
973,3800.78,0.002174
974,3804.69,0.002243
975,3808.59,0.002169
976,3812.50,0.001949
977,3816.41,0.002169
978,3820.31,0.002209
979,3824.22,0.002040
980,3828.12,0.002173
981,3832.03,0.002179
982,3835.94,0.001892
983,3839.84,0.002076
984,3843.75,0.002018
985,3847.66,0.001966
986,3851.56,0.002070
987,3855.47,0.001838
988,3859.38,0.002225
989,3863.28,0.002245
990,3867.19,0.002065
991,3871.09,0.002007
992,3875.00,0.002044
993,3878.91,0.001878
994,3882.81,0.001980
995,3886.72,0.002361
996,3890.62,0.001889
997,3894.53,0.002049
998,3898.44,0.002294
999,3902.34,0.003373
1000,3906.25,0.002243
1001,3910.16,0.001885
1002,3914.06,0.002063
1003,3917.97,0.002009
1004,3921.88,0.002186
1005,3925.78,0.002022
1006,3929.69,0.002168
1007,3933.59,0.001999
1008,3937.50,0.002136
1009,3941.41,0.001938
1010,3945.31,0.002086
1011,3949.22,0.002183
1012,3953.12,0.002449
1013,3957.03,0.002381
1014,3960.94,0.002142
1015,3964.84,0.002252
1016,3968.75,0.002536
1017,3972.66,0.002184
1018,3976.56,0.002309
1019,3980.47,0.002351
1020,3984.38,0.002671
1021,3988.28,0.002347
1022,3992.19,0.002073
1023,3996.09,0.002086
