Bin,Frequency_Hz,Power
830,3242.19,0.003758
831,3246.09,0.003520
832,3250.00,0.004526
833,3253.91,0.003398
834,3257.81,0.003454
835,3261.72,0.003297
836,3265.62,0.003573
837,3269.53,0.003571
838,3273.44,0.003448
839,3277.34,0.003313
840,3281.25,0.003355
841,3285.16,0.003326
842,3289.06,0.003401
843,3292.97,0.003237
844,3296.88,0.003200
845,3300.78,0.003172
846,3304.69,0.002978
847,3308.59,0.003115
848,3312.50,0.002783
849,3316.41,0.003066
850,3320.31,0.002826
851,3324.22,0.002983
852,3328.12,0.002830
853,3332.03,0.002892
854,3335.94,0.002951
855,3339.84,0.003170
856,3343.75,0.004335
857,3347.66,0.003335
858,3351.56,0.002857
859,3355.47,0.002702
860,3359.38,0.003348
861,3363.28,0.002698
862,3367.19,0.002839
863,3371.09,0.002625
864,3375.00,0.003243
865,3378.91,0.002738
866,3382.81,0.002797
867,3386.72,0.002642
868,3390.62,0.002958
869,3394.53,0.002702
870,3398.44,0.002713
871,3402.34,0.002584
872,3406.25,0.002734
873,3410.16,0.002714
874,3414.06,0.002679
875,3417.97,0.002635
876,3421.88,0.002648
877,3425.78,0.002879
878,3429.69,0.002604
879,3433.59,0.002788
880,3437.50,0.002284
881,3441.41,0.002885
882,3445.31,0.002842
883,3449.22,0.002859
884,3453.12,0.003775
885,3457.03,0.004161
886,3460.94,0.003178
887,3464.84,0.002975
888,3468.75,0.002870
889,3472.66,0.002744
890,3476.56,0.002575
891,3480.47,0.002938
892,3484.38,0.002860
893,3488.28,0.002701
894,3492.19,0.002730
895,3496.09,0.002897
896,3500.00,0.002993
897,3503.91,0.002801
898,3507.81,0.002824
899,3511.72,0.002721
900,3515.62,0.002849
901,3519.53,0.002796
902,3523.44,0.002864
903,3527.34,0.002869
904,3531.25,0.002617
905,3535.16,0.002935
906,3539.06,0.002601
907,3542.97,0.002672
908,3546.88,0.003098
909,3550.78,0.002778
910,3554.69,0.002569
911,3558.59,0.002784
912,3562.50,0.003004
913,3566.41,0.003763
914,3570.31,0.003195
915,3574.22,0.002983
916,3578.12,0.002681
917,3582.03,0.002756
918,3585.94,0.002751
919,3589.84,0.002815
920,3593.75,0.002665
921,3597.66,0.002646
922,3601.56,0.002730
923,3605.47,0.002589
924,3609.38,0.002532
925,3613.28,0.002599
926,3617.19,0.002967
927,3621.09,0.002564
928,3625.00,0.002793
929,3628.91,0.002632
930,3632.81,0.002625
931,3636.72,0.002573
932,3640.62,0.002325
933,3644.53,0.002302
934,3648.44,0.002473
935,3652.34,0.002446
936,3656.25,0.002747
937,3660.16,0.002514
938,3664.06,0.002149
939,3667.97,0.002518
940,3671.88,0.002175
941,3675.78,0.002351
942,3679.69,0.004155
943,3683.59,0.002595
944,3687.50,0.002535
945,3691.41,0.002395
946,3695.31,0.002324
947,3699.22,0.002483
948,3703.12,0.002674
949,3707.03,0.002397
950,3710.94,0.002383
951,3714.84,0.002488
952,3718.75,0.002478
953,3722.66,0.002523
954,3726.56,0.002465
955,3730.47,0.002592
956,3734.38,0.002514
957,3738.28,0.002707
958,3742.19,0.002585
959,3746.09,0.002686
960,3750.00,0.002231
961,3753.91,0.002362
962,3757.81,0.002630
963,3761.72,0.002716
964,3765.62,0.002259
965,3769.53,0.002623
966,3773.44,0.002571
967,3777.34,0.002573
968,3781.25,0.002619
969,3785.16,0.002687
970,3789.06,0.003762
971,3792.97,0.003538
972,3796.88,0.002757
973,3800.78,0.002730
974,3804.69,0.002723
975,3808.59,0.002768
976,3812.50,0.002751
977,3816.41,0.002553
978,3820.31,0.002556
979,3824.22,0.002532
980,3828.12,0.002440
981,3832.03,0.002507
982,3835.94,0.002442
983,3839.84,0.002565
984,3843.75,0.002898
985,3847.66,0.002494
986,3851.56,0.002421
987,3855.47,0.002525
988,3859.38,0.002587
989,3863.28,0.002574
990,3867.19,0.002504
991,3871.09,0.002416
992,3875.00,0.002704
993,3878.91,0.002374
994,3882.81,0.002359
995,3886.72,0.002466
996,3890.62,0.002577
997,3894.53,0.002582
998,3898.44,0.002417
999,3902.34,0.003630
1000,3906.25,0.002503
