Bin,Frequency_Hz,Power
738,2882.81,0.062429
739,2886.72,0.075387
740,2890.62,0.084190
741,2894.53,0.071273
742,2898.44,0.112577
743,2902.34,0.085781
744,2906.25,0.081189
745,2910.16,0.094011
746,2914.06,0.088885
747,2917.97,0.079106
748,2921.88,0.069701
749,2925.78,0.052552
750,2929.69,0.061702
751,2933.59,0.070612
752,2937.50,0.077877
753,2941.41,0.086698
754,2945.31,0.087414
755,2949.22,0.074874
756,2953.12,0.077587
757,2957.03,0.075582
758,2960.94,0.089559
759,2964.84,0.081503
760,2968.75,0.074236
761,2972.66,0.058817
762,2976.56,0.055956
763,2980.47,0.065574
764,2984.38,0.056613
765,2988.28,0.048687
766,2992.19,0.069698
767,2996.09,0.067270
768,3000.00,0.079673
769,3003.91,0.092432
770,3007.81,0.077933
771,3011.72,0.091841
772,3015.62,0.114639
773,3019.53,0.098843
774,3023.44,0.076858
775,3027.34,0.062899
776,3031.25,0.059137
777,3035.16,0.058088
778,3039.06,0.074952
779,3042.97,0.086772
780,3046.88,0.073336
781,3050.78,0.072297
782,3054.69,0.061761
783,3058.59,0.066178
784,3062.50,0.071304
785,3066.41,0.075630
786,3070.31,0.063115
787,3074.22,0.059644
788,3078.12,0.057661
789,3082.03,0.070651
790,3085.94,0.067225
791,3089.84,0.059895
792,3093.75,0.080585
793,3097.66,0.077990
794,3101.56,0.071988
795,3105.47,0.102959
796,3109.38,0.078115
797,3113.28,0.085956
798,3117.19,0.105703
799,3121.09,0.111147
800,3125.00,0.071335
801,3128.91,0.059124
802,3132.81,0.068141
803,3136.72,0.053431
804,3140.62,0.061084
805,3144.53,0.089008
806,3148.44,0.091516
807,3152.34,0.078383
808,3156.25,0.061493
809,3160.16,0.075526
810,3164.06,0.088920
811,3167.97,0.096404
812,3171.88,0.080966
813,3175.78,0.070588
814,3179.69,0.077200
815,3183.59,0.069564
816,3187.50,0.085935
817,3191.41,0.077788
818,3195.31,0.080442
819,3199.22,0.122809
820,3203.12,0.108085
821,3207.03,0.115680
822,3210.94,0.130017
823,3214.84,0.092100
824,3218.75,0.117672
825,3222.66,0.139399
826,3226.56,0.112190
827,3230.47,0.085496
828,3234.38,0.094574
829,3238.28,0.073675
830,3242.19,0.091095
831,3246.09,0.107983
832,3250.00,0.128370
833,3253.91,0.117469
834,3257.81,0.098265
835,3261.72,0.083906
836,3265.62,0.096486
837,3269.53,0.110331
838,3273.44,0.103415
839,3277.34,0.101752
840,3281.25,0.108430
841,3285.16,0.085930
842,3289.06,0.097717
843,3292.97,0.098599
844,3296.88,0.094030
845,3300.78,0.102446
846,3304.69,0.129081
847,3308.59,0.110965
848,3312.50,0.146638
849,3316.41,0.124513
850,3320.31,0.112083
851,3324.22,0.146728
852,3328.12,0.136494
853,3332.03,0.094364
854,3335.94,0.094012
855,3339.84,0.099985
856,3343.75,0.093009
857,3347.66,0.097917
858,3351.56,0.121509
859,3355.47,0.121683
860,3359.38,0.115062
861,3363.28,0.100084
862,3367.19,0.105002
863,3371.09,0.105928
864,3375.00,0.092637
865,3378.91,0.090474
866,3382.81,0.082239
867,3386.72,0.091503
868,3390.62,0.085943
869,3394.53,0.101552
870,3398.44,0.098337
871,3402.34,0.083333
872,3406.25,0.119718
873,3410.16,0.116921
874,3414.06,0.096946
875,3417.97,0.135863
876,3421.88,0.096951
877,3425.78,0.104296
878,3429.69,0.136598
879,3433.59,0.115604
880,3437.50,0.090202
881,3441.41,0.114069
882,3445.31,0.101787
