Bin,Frequency_Hz,Power
846,3304.69,0.151707
847,3308.59,0.136925
848,3312.50,0.153029
849,3316.41,0.160199
850,3320.31,0.157287
851,3324.22,0.170077
852,3328.12,0.172506
853,3332.03,0.137836
854,3335.94,0.147363
855,3339.84,0.135840
856,3343.75,0.141253
857,3347.66,0.165551
858,3351.56,0.178135
859,3355.47,0.138570
860,3359.38,0.137399
861,3363.28,0.130491
862,3367.19,0.149585
863,3371.09,0.155738
864,3375.00,0.141762
865,3378.91,0.148540
866,3382.81,0.143503
867,3386.72,0.171751
868,3390.62,0.187786
869,3394.53,0.182296
870,3398.44,0.179192
871,3402.34,0.160867
872,3406.25,0.185092
873,3410.16,0.176484
874,3414.06,0.159478
875,3417.97,0.160731
876,3421.88,0.191936
877,3425.78,0.198267
878,3429.69,0.154200
879,3433.59,0.144520
880,3437.50,0.166660
881,3441.41,0.164836
882,3445.31,0.139529
883,3449.22,0.186002
884,3453.12,0.208265
885,3457.03,0.178707
886,3460.94,0.147977
887,3464.84,0.167325
888,3468.75,0.172921
889,3472.66,0.147441
890,3476.56,0.147908
891,3480.47,0.158418
892,3484.38,0.144075
893,3488.28,0.153871
894,3492.19,0.147253
895,3496.09,0.157998
896,3500.00,0.146441
897,3503.91,0.156520
898,3507.81,0.150466
899,3511.72,0.144006
900,3515.62,0.155509
901,3519.53,0.144249
902,3523.44,0.123387
903,3527.34,0.128806
904,3531.25,0.129314
905,3535.16,0.145626
906,3539.06,0.133260
907,3542.97,0.158708
908,3546.88,0.182158
909,3550.78,0.197187
910,3554.69,0.214265
911,3558.59,0.158758
912,3562.50,0.142983
913,3566.41,0.142333
914,3570.31,0.121919
915,3574.22,0.158054
916,3578.12,0.153472
917,3582.03,0.148535
918,3585.94,0.147018
919,3589.84,0.145546
920,3593.75,0.150218
921,3597.66,0.160167
922,3601.56,0.139177
923,3605.47,0.161970
924,3609.38,0.153668
925,3613.28,0.151083
926,3617.19,0.148598
927,3621.09,0.148554
928,3625.00,0.154536
929,3628.91,0.139675
930,3632.81,0.134178
931,3636.72,0.139384
932,3640.62,0.146231
933,3644.53,0.148816
934,3648.44,0.142231
935,3652.34,0.111855
936,3656.25,0.136043
937,3660.16,0.114655
938,3664.06,0.108319
939,3667.97,0.114665
940,3671.88,0.118292
941,3675.78,0.128129
942,3679.69,0.123327
943,3683.59,0.128516
944,3687.50,0.125038
945,3691.41,0.118221
946,3695.31,0.137428
947,3699.22,0.099760
948,3703.12,0.114191
949,3707.03,0.099715
950,3710.94,0.104830
951,3714.84,0.114945
952,3718.75,0.127263
953,3722.66,0.109109
954,3726.56,0.107466
955,3730.47,0.133838
956,3734.38,0.112460
957,3738.28,0.137120
958,3742.19,0.139531
959,3746.09,0.126143
960,3750.00,0.122289
961,3753.91,0.095986
962,3757.81,0.109963
963,3761.72,0.106419
964,3765.62,0.096100
965,3769.53,0.096873
966,3773.44,0.081348
967,3777.34,0.082857
968,3781.25,0.075517
969,3785.16,0.096811
970,3789.06,0.091009
971,3792.97,0.094090
972,3796.88,0.082836
973,3800.78,0.090152
974,3804.69,0.064092
975,3808.59,0.073213
976,3812.50,0.074192
977,3816.41,0.077864
978,3820.31,0.065930
979,3824.22,0.069859
980,3828.12,0.071065
981,3832.03,0.067507
982,3835.94,0.058998
983,3839.84,0.058777
984,3843.75,0.057000
985,3847.66,0.073730
986,3851.56,0.063936
987,3855.47,0.076812
988,3859.38,0.090408
989,3863.28,0.080510
990,3867.19,0.073956
991,3871.09,0.059997
992,3875.00,0.051603
993,3878.91,0.079670
994,3882.81,0.079873
995,3886.72,0.078621
996,3890.62,0.067801
997,3894.53,0.062977
998,3898.44,0.052913
999,3902.34,0.061653
1000,3906.25,0.072604
1001,3910.16,0.084200
1002,3914.06,0.093968
1003,3917.97,0.095648
1004,3921.88,0.099510
1005,3925.78,0.088575
1006,3929.69,0.093889
1007,3933.59,0.089022
1008,3937.50,0.098068
1009,3941.41,0.108327
1010,3945.31,0.104342
1011,3949.22,0.077922
1012,3953.12,0.077046
1013,3957.03,0.095055
1014,3960.94,0.090167
1015,3964.84,0.084146
1016,3968.75,0.113318
1017,3972.66,0.115959
1018,3976.56,0.104783
1019,3980.47,0.095534
1020,3984.38,0.131348
1021,3988.28,0.116187
1022,3992.19,0.097386
1023,3996.09,0.115314
